nameOfIssuer,nameOfIssuer_link,cusip,value,fund_name
SPDR SER TR,"<a href=""http://www.google.com/search?q=stock price SPDR SER TR"" 
        target=""_blank"">SPDR SER TR</a>",78464A870,604948679,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
BERKSHIRE HATHAWAY INC DEL,"<a href=""http://www.google.com/search?q=stock price BERKSHIRE HATHAWAY INC DEL"" 
        target=""_blank"">BERKSHIRE HATHAWAY INC DEL</a>",084670702,603896712,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
UNITEDHEALTH GROUP INC,"<a href=""http://www.google.com/search?q=stock price UNITEDHEALTH GROUP INC"" 
        target=""_blank"">UNITEDHEALTH GROUP INC</a>",91324P102,593647572,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
MORGAN STANLEY,"<a href=""http://www.google.com/search?q=stock price MORGAN STANLEY"" 
        target=""_blank"">MORGAN STANLEY</a>",617446448,580201500,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287234,574086212,['CITADEL ADVISORS LLC']
SPDR SER TR,"<a href=""http://www.google.com/search?q=stock price SPDR SER TR"" 
        target=""_blank"">SPDR SER TR</a>",78464A698,573121521,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'MKP Capital Management, L.L.C.']"
JOHNSON & JOHNSON,"<a href=""http://www.google.com/search?q=stock price JOHNSON & JOHNSON"" 
        target=""_blank"">JOHNSON & JOHNSON</a>",478160104,572759308,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287242,572532708,"['CITADEL ADVISORS LLC', 'III Capital Management ']"
ORACLE CORP,"<a href=""http://www.google.com/search?q=stock price ORACLE CORP"" 
        target=""_blank"">ORACLE CORP</a>",68389X105,550956094,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
CATERPILLAR INC,"<a href=""http://www.google.com/search?q=stock price CATERPILLAR INC"" 
        target=""_blank"">CATERPILLAR INC</a>",149123101,546752964,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PDD HOLDINGS INC,"<a href=""http://www.google.com/search?q=stock price PDD HOLDINGS INC"" 
        target=""_blank"">PDD HOLDINGS INC</a>",722304102,520117419,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'SOROS FUND MANAGEMENT LLC']"
WELLS FARGO CO NEW,"<a href=""http://www.google.com/search?q=stock price WELLS FARGO CO NEW"" 
        target=""_blank"">WELLS FARGO CO NEW</a>",949746101,509466376,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
BLACKSTONE INC,"<a href=""http://www.google.com/search?q=stock price BLACKSTONE INC"" 
        target=""_blank"">BLACKSTONE INC</a>",09260D107,485516820,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
ASML HOLDING N V,"<a href=""http://www.google.com/search?q=stock price ASML HOLDING N V"" 
        target=""_blank"">ASML HOLDING N V</a>",N07059210,484958644,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
LAM RESEARCH CORP,"<a href=""http://www.google.com/search?q=stock price LAM RESEARCH CORP"" 
        target=""_blank"">LAM RESEARCH CORP</a>",512807108,481626574,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PALANTIR TECHNOLOGIES INC,"<a href=""http://www.google.com/search?q=stock price PALANTIR TECHNOLOGIES INC"" 
        target=""_blank"">PALANTIR TECHNOLOGIES INC</a>",69608A108,471596371,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
BLOCK INC,"<a href=""http://www.google.com/search?q=stock price BLOCK INC"" 
        target=""_blank"">BLOCK INC</a>",852234103,465623795,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
SELECT SECTOR SPDR TR,"<a href=""http://www.google.com/search?q=stock price SELECT SECTOR SPDR TR"" 
        target=""_blank"">SELECT SECTOR SPDR TR</a>",81369Y407,460131773,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
FEDEX CORP,"<a href=""http://www.google.com/search?q=stock price FEDEX CORP"" 
        target=""_blank"">FEDEX CORP</a>",31428X106,456737335,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
UNITED PARCEL SERVICE INC,"<a href=""http://www.google.com/search?q=stock price UNITED PARCEL SERVICE INC"" 
        target=""_blank"">UNITED PARCEL SERVICE INC</a>",911312106,454347531,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ALBEMARLE CORP,"<a href=""http://www.google.com/search?q=stock price ALBEMARLE CORP"" 
        target=""_blank"">ALBEMARLE CORP</a>",012653101,449058288,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ENPHASE ENERGY INC,"<a href=""http://www.google.com/search?q=stock price ENPHASE ENERGY INC"" 
        target=""_blank"">ENPHASE ENERGY INC</a>",29355A107,435810934,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'III Capital Management ']"
MCDONALDS CORP,"<a href=""http://www.google.com/search?q=stock price MCDONALDS CORP"" 
        target=""_blank"">MCDONALDS CORP</a>",580135101,435069123,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
MODERNA INC,"<a href=""http://www.google.com/search?q=stock price MODERNA INC"" 
        target=""_blank"">MODERNA INC</a>",60770K107,433174365,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287465,425742570,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
VERIZON COMMUNICATIONS INC,"<a href=""http://www.google.com/search?q=stock price VERIZON COMMUNICATIONS INC"" 
        target=""_blank"">VERIZON COMMUNICATIONS INC</a>",92343V104,424305960,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
UNITED RENTALS INC,"<a href=""http://www.google.com/search?q=stock price UNITED RENTALS INC"" 
        target=""_blank"">UNITED RENTALS INC</a>",911363109,422782566,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
SELECT SECTOR SPDR TR,"<a href=""http://www.google.com/search?q=stock price SELECT SECTOR SPDR TR"" 
        target=""_blank"">SELECT SECTOR SPDR TR</a>",81369Y605,419781440,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
CVS HEALTH CORP,"<a href=""http://www.google.com/search?q=stock price CVS HEALTH CORP"" 
        target=""_blank"">CVS HEALTH CORP</a>",126650100,417572064,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
VISA INC,"<a href=""http://www.google.com/search?q=stock price VISA INC"" 
        target=""_blank"">VISA INC</a>",92826C839,414216850,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
OCCIDENTAL PETE CORP,"<a href=""http://www.google.com/search?q=stock price OCCIDENTAL PETE CORP"" 
        target=""_blank"">OCCIDENTAL PETE CORP</a>",674599105,414136618,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
HUMANA INC,"<a href=""http://www.google.com/search?q=stock price HUMANA INC"" 
        target=""_blank"">HUMANA INC</a>",444859102,410609789,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
MASTERCARD INCORPORATED,"<a href=""http://www.google.com/search?q=stock price MASTERCARD INCORPORATED"" 
        target=""_blank"">MASTERCARD INCORPORATED</a>",57636Q104,406336077,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
