nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt,investmentDiscretion,votingAuthority,sshPrnamt,sshPrnamtType,cik,filingDate,reportDate,fund_name,figi,putCall,otherManager
ADOBE SYSTEMS INCORPORATED,COM,00724F101,462089845,"{'sshPrnamt': '1199081', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1199081', 'Shared': '0', 'None': '0'}",1199081,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
AMERICAN TOWER CORP NEW,COM,03027X100,1430113949,"{'sshPrnamt': '6998698', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '6998698', 'Shared': '0', 'None': '0'}",6998698,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,5284290,"{'sshPrnamt': '17114', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '17114', 'Shared': '0', 'None': '0'}",17114,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
BROOKFIELD ASSET MANAGMT LTD,CL A LMT VTG SHS,113004105,120791900,"{'sshPrnamt': '3691684', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3691684', 'Shared': '0', 'None': '0'}",3691684,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
BROOKFIELD CORP,CL A LTD VT SH,11271J107,592706313,"{'sshPrnamt': '18186754', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '18186754', 'Shared': '0', 'None': '0'}",18186754,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
CARMAX INC,COM,143130102,199169394,"{'sshPrnamt': '3098466', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3098466', 'Shared': '0', 'None': '0'}",3098466,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
COSTAR GROUP INC,COM,22160N109,489621955,"{'sshPrnamt': '7111430', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '7111430', 'Shared': '0', 'None': '0'}",7111430,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
DANAHER CORPORATION,COM,235851102,450697928,"{'sshPrnamt': '1788200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1788200', 'Shared': '0', 'None': '0'}",1788200,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
DIGITALBRIDGE GROUP INC,CL A COM,25401T603,61563073,"{'sshPrnamt': '5134535', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5134535', 'Shared': '0', 'None': '0'}",5134535,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
DOLLAR TREE INC,COM,256746108,4348991,"{'sshPrnamt': '30296', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '30296', 'Shared': '0', 'None': '0'}",30296,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
GOOSEHEAD INS INC,COM CL A,38267D109,12719678,"{'sshPrnamt': '243672', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '243672', 'Shared': '0', 'None': '0'}",243672,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
KKR & CO L P DEL,COM UNITS,48251w104,797062824,"{'sshPrnamt': '15176368', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '15176368', 'Shared': '0', 'None': '0'}",15176368,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
MASTERCARD INCORPORATED,CL A,57636Q104,2133020095,"{'sshPrnamt': '5869459', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5869459', 'Shared': '0', 'None': '0'}",5869459,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
MOODYS CORP,COM,615369105,1745472286,"{'sshPrnamt': '5703785', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5703785', 'Shared': '0', 'None': '0'}",5703785,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
OREILLY AUTOMOTIVE INC,COM,67103H107,1003636989,"{'sshPrnamt': '1182168', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1182168', 'Shared': '0', 'None': '0'}",1182168,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
ROPER TECHNOLOGIES INC,COM,776696106,729617381,"{'sshPrnamt': '1655625', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1655625', 'Shared': '0', 'None': '0'}",1655625,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
VERISK ANALYTICS INC,CL A,92345Y106,3640735,"{'sshPrnamt': '18976', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '18976', 'Shared': '0', 'None': '0'}",18976,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
VISA INC,COM CL A,92826C839,1109745233,"{'sshPrnamt': '4922138', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '4922138', 'Shared': '0', 'None': '0'}",4922138,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,,
ALPHABET INC,COM,02079K107,10400000,"{'sshPrnamt': '100000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '100000', 'Shared': '0', 'None': '0'}",100000,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,Call,
MASTERCARD INCORPORATED,COM,57636Q104,3634100,"{'sshPrnamt': '10000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '10000', 'Shared': '0', 'None': '0'}",10000,SH,1112520,2023-05-12,2023-03-31,AKRE CAPITAL MANAGEMENT,,Call,
10X Capital Venture Acquisition Corp III,Warrant,G87077114,524000,"{'sshPrnamt': '50000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '50000', 'Shared': '0', 'None': '0'}",50000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Absolute Software Corp,Option,00386B109,573000,"{'sshPrnamt': '50000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '50000', 'Shared': '0', 'None': '0'}",50000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,Put,
Acer Therapeutics Inc,Equity,00444P108,119853,"{'sshPrnamt': '129795', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '129795', 'Shared': '0', 'None': '0'}",129795,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Acropolis Infrastructure Acquisition Corp,Warrant,005029111,507500,"{'sshPrnamt': '50000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '50000', 'Shared': '0', 'None': '0'}",50000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Activision Blizzard Inc,Equity,00507V109,1264500,"{'sshPrnamt': '15000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '15000', 'Shared': '0', 'None': '0'}",15000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
AdvisorShares Pure US Cannabis ETF,Exchange Traded Fund,00768Y453,11425203,"{'sshPrnamt': '2062311', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '2062311', 'Shared': '0', 'None': '0'}",2062311,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Ainos Inc,Warrant,00902F113,34005,"{'sshPrnamt': '50000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '50000', 'Shared': '0', 'None': '0'}",50000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Algonquin Power & Utilities Corp,Equity,015857105,2690916,"{'sshPrnamt': '325500', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '325500', 'Shared': '0', 'None': '0'}",325500,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Alibaba Group Holding Ltd,ADR,01609W102,1667000,"{'sshPrnamt': '20000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '20000', 'Shared': '0', 'None': '0'}",20000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
AMC Entertainment Holdings Inc,Option,00165C104,16014240,"{'sshPrnamt': '3639600', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '3639600', 'Shared': '0', 'None': '0'}",3639600,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,Put,
Americas Gold & Silver Corp,Equity,03062D100,221017,"{'sshPrnamt': '629400', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '629400', 'Shared': '0', 'None': '0'}",629400,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Americold Realty Trust Inc,Equity,03064D108,1938000,"{'sshPrnamt': '60000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '60000', 'Shared': '0', 'None': '0'}",60000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Apartment Investment and Management Co,Option,03748R747,1107600,"{'sshPrnamt': '130000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '130000', 'Shared': '0', 'None': '0'}",130000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,Call,
Apartment Investment and Management Co,Equity,03748R747,1576200,"{'sshPrnamt': '185000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '185000', 'Shared': '0', 'None': '0'}",185000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Ares Acquisition Corp,Warrant,G33032122,2642500,"{'sshPrnamt': '250000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '250000', 'Shared': '0', 'None': '0'}",250000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Atea Pharmaceuticals Inc,Equity,04683R106,187000,"{'sshPrnamt': '50000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '50000', 'Shared': '0', 'None': '0'}",50000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
Aurora Innovation Inc,Warrant,051774115,398570,"{'sshPrnamt': '135568', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '135568', 'Shared': '0', 'None': '0'}",135568,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
BANK OF MONTREAL,Equity,063671101,1806978,"{'sshPrnamt': '20000', 'sshPrnamtType': 'SH'}",DFND,"{'Sole': '20000', 'Shared': '0', 'None': '0'}",20000,SH,1491072,2023-08-14,2023-06-30,ANSON FUNDS,,,
